country,city,connectorType,durationCharge,durationSession,energy,tariff,cost,meanPower,maxPower,startDate,startTimestamp,weekDayStart,yearStart,hourStart,minuteStart,endDate,endTimestamp,weekDayEnd,yearEnd,hourEnd,minuteEnd,anomaly,class
UK,Dundee,Rapid,0.18,0.18,8.101,0.2,1.59,45.006,50.0,31/01/2021 02:33:00,1612056780.0,6,2021.0,2,33,31/01/2021 02:44:00,1612057440.0,6,2021.0,2,44,0,Normal
UK,Dundee,Rapid,0.7,0.7,24.466,0.17,4.04,34.951,50.0,31/01/2021 02:52:00,1612057920.0,6,2021.0,2,52,31/01/2021 03:34:00,1612060440.0,6,2021.0,3,34,0,Normal
UK,Dundee,Rapid,0.22,0.22,4.155,0.24,1.0,18.886,50.0,31/01/2021 02:52:00,1612057920.0,6,2021.0,2,52,31/01/2021 03:05:00,1612058700.0,6,2021.0,3,5,0,Normal
UK,Dundee,Rapid,0.4,0.4,10.738,0.19,1.99,26.845,50.0,31/01/2021 03:11:00,1612059060.0,6,2021.0,3,11,31/01/2021 03:35:00,1612060500.0,6,2021.0,3,35,0,Normal
UK,Dundee,Fast,18.05,18.05,22.161,0.17,3.7,1.228,22.0,31/01/2021 03:13:00,1612059180.0,6,2021.0,3,13,31/01/2021 21:16:00,1612124160.0,6,2021.0,21,16,0,Normal
UK,Dundee,Rapid,0.7,0.7,6.49,0.21,1.35,9.271,50.0,31/01/2021 03:17:00,1612059420.0,6,2021.0,3,17,31/01/2021 03:59:00,1612061940.0,6,2021.0,3,59,0,Normal
UK,Dundee,Fast,12.48,12.48,33.64,0.16,5.42,2.696,7.0,31/01/2021 03:53:00,1612061580.0,6,2021.0,3,53,31/01/2021 16:22:00,1612106520.0,6,2021.0,16,22,0,Normal
UK,Dundee,Rapid,0.4,0.4,12.399,0.18,2.23,30.997,50.0,31/01/2021 03:58:00,1612061880.0,6,2021.0,3,58,31/01/2021 04:22:00,1612063320.0,6,2021.0,4,22,0,Normal
UK,Dundee,Fast,13.7,13.7,4.291,0.24,1.02,0.313,22.0,31/01/2021 04:01:00,1612062060.0,6,2021.0,4,1,31/01/2021 17:43:00,1612111380.0,6,2021.0,17,43,0,Normal
UK,Dundee,Rapid,0.4,0.4,6.505,0.21,1.35,16.262,50.0,31/01/2021 04:10:00,1612062600.0,6,2021.0,4,10,31/01/2021 04:34:00,1612064040.0,6,2021.0,4,34,0,Normal
UK,Dundee,Rapid,0.17,0.17,7.335,0.2,1.48,43.147,50.0,31/01/2021 04:25:00,1612063500.0,6,2021.0,4,25,31/01/2021 04:35:00,1612064100.0,6,2021.0,4,35,0,Normal
UK,Dundee,Rapid,0.05,0.05,0.919,0.55,0.51,18.38,50.0,31/01/2021 05:12:00,1612066320.0,6,2021.0,5,12,31/01/2021 05:15:00,1612066500.0,6,2021.0,5,15,0,Normal
UK,Dundee,Rapid,0.2,0.2,4.533,0.23,1.05,22.665,50.0,31/01/2021 05:14:00,1612066440.0,6,2021.0,5,14,31/01/2021 05:26:00,1612067160.0,6,2021.0,5,26,0,Normal
UK,Dundee,Rapid,0.08,0.08,2.956,0.28,0.82,36.95,50.0,31/01/2021 05:23:00,1612066980.0,6,2021.0,5,23,31/01/2021 05:28:00,1612067280.0,6,2021.0,5,28,0,Normal
UK,Dundee,Rapid,0.73,0.73,11.91,0,0,16.315,50.0,31/01/2021 05:49:00,1612068540.0,6,2021.0,5,49,31/01/2021 06:33:00,1612071180.0,6,2021.0,6,33,0,Normal
UK,Dundee,Rapid,0.62,0.62,11.647,0.18,2.12,18.785,50.0,31/01/2021 05:51:00,1612068660.0,6,2021.0,5,51,31/01/2021 06:28:00,1612070880.0,6,2021.0,6,28,0,Normal
UK,Dundee,Rapid,0.72,0.72,8.489,0.19,1.65,11.79,50.0,31/01/2021 05:53:00,1612068780.0,6,2021.0,5,53,31/01/2021 06:36:00,1612071360.0,6,2021.0,6,36,0,Normal
UK,Dundee,Rapid,0.18,0.18,2.538,0.3,0.76,14.1,50.0,31/01/2021 06:21:00,1612070460.0,6,2021.0,6,21,31/01/2021 06:32:00,1612071120.0,6,2021.0,6,32,0,Normal
UK,Dundee,Rapid,1.0,1.0,20.282,0,0,20.282,50.0,31/01/2021 06:23:00,1612070580.0,6,2021.0,6,23,31/01/2021 07:23:00,1612074180.0,6,2021.0,7,23,0,Normal
UK,Dundee,Rapid,0.62,0.62,15.871,0.17,2.76,25.598,50.0,31/01/2021 06:40:00,1612071600.0,6,2021.0,6,40,31/01/2021 07:17:00,1612073820.0,6,2021.0,7,17,0,Normal
UK,Dundee,Rapid,1.2,1.2,26.722,0.16,4.38,22.268,50.0,31/01/2021 06:58:00,1612072680.0,6,2021.0,6,58,31/01/2021 08:10:00,1612077000.0,6,2021.0,8,10,0,Normal
UK,Dundee,Rapid,0.1,0.1,4.661,0.23,1.07,46.61,50.0,31/01/2021 07:07:00,1612073220.0,6,2021.0,7,7,31/01/2021 07:13:00,1612073580.0,6,2021.0,7,13,0,Normal
UK,Dundee,Rapid,0.13,0.13,5.675,0.22,1.23,43.654,50.0,31/01/2021 07:08:00,1612073280.0,6,2021.0,7,8,31/01/2021 07:16:00,1612073760.0,6,2021.0,7,16,0,Normal
UK,Dundee,Rapid,0.42,0.42,14.436,0.18,2.54,34.371,50.0,31/01/2021 07:15:00,1612073700.0,6,2021.0,7,15,31/01/2021 07:40:00,1612075200.0,6,2021.0,7,40,0,Normal
