,Charging event,User ID,CP ID,Connector,Start Date,Start Time,End Date,End Time,Total kWh,Cost,Site,Group,Model,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
0,11684888,621969,51584,2,31/01/2021,23:33,01/02/2021,00:08,11.216,2.06,"Lochee Charging Hub, Aimer Square, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,806169924A6B04,Nissan LEAF
1,11684768,628777,51584,2,31/01/2021,23:02,,,,,"Lochee Charging Hub, Aimer Square, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,805F6172247304,Nissan LEAF
2,11684711,621472,52667,1,31/01/2021,22:52,01/02/2021,00:22,113.776,17.25,Green Market HGV,Dundee City Council Private,Swarco Raption 150 CCS/CHA,,,8062FB2A5A4304,
3,11684864,610690,51427,2,31/01/2021,22:35,01/02/2021,04:05,20.114,3.38,"Princes Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 22kW Dual Outlet,,,805E81C25D0604,
4,11684583,615610,51547,2,31/01/2021,22:24,,,,,"Lochee Charging Hub, Aimer Square, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,8062CBA2487304,
5,11684536,526342,51426,2,31/01/2021,22:12,31/01/2021,22:18,4.013,0.98,"Princes Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,8062E14A3B5E04,Nissan LEAF
6,11684527,607753,51584,2,31/01/2021,22:10,31/01/2021,22:34,14.638,2.57,"Lochee Charging Hub, Aimer Square, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,804377FA2E5B04,Nissan LEAF
7,11684509,529680,51421,2,31/01/2021,22:07,31/01/2021,22:17,5.898,1.26,"Princes Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,8065B0AA281604,Nissan LEAF
8,11684488,604735H,50268,1,31/01/2021,22:04,01/02/2021,17:29,0.0,0.0,"Housing Office West, Aimer Square, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,,,804E2D5A707C04,
9,11684474,618311,51424,2,31/01/2021,22:01,31/01/2021,22:39,20.823,3.5,"Princes Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,805F5612464004,Nissan LEAF
10,11684457,626025,51428,1,31/01/2021,21:58,01/02/2021,07:49,25.309,4.17,"Princes Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 22kW Dual Outlet,,,8.06E+14,BMW i3
11,11684442,618928,51585,2,31/01/2021,21:55,31/01/2021,22:08,4.303,1.02,"Lochee Charging Hub, Aimer Square, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,805F5612907004,Nissan LEAF
12,11684427,609542,51592,2,31/01/2021,21:52,31/01/2021,22:36,20.129,3.39,"Queen Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,804D1CAA2E4704,Nissan LEAF
13,11684396,615609,50268,2,31/01/2021,21:48,01/02/2021,03:13,12.84,0.0,"Housing Office West, Aimer Square, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,,,8062CBA2612504,
