country,city,standardConnector,connectorType,durationCharge,durationSession,energy,tariff,cost,meanPower,maxPower,startDate,startTimestamp,weekDayStart,yearStart,hourStart,minuteStart,endDate,endTimestamp,weekDayEnd,yearEnd,hourEnd,minuteEnd,anomaly,class
France,Paris,T2,Rapid,0.11,0.1,1.125,1.2,1.35,10.227,13,02/05/2017 19:41:00+0200,1493746860.0,1,2017.0,19,41,02/05/2017 19:47:00+0200,1493747220.0,1,2017.0,19,47,0,Normal
France,Paris,CHAdeMO,Rapid,0.04,0.03,0.0,0.0,0.0,0.0,12,01/05/2017 12:56:00+0200,1493636160.0,0,2017.0,12,56,01/05/2017 12:58:00+0200,1493636280.0,0,2017.0,12,58,0,Normal
France,Paris,CHAdeMO,Rapid,0.03,0.03,0.0,0.0,0.0,0.0,12,01/05/2017 12:59:00+0200,1493636340.0,0,2017.0,12,59,01/05/2017 13:01:00+0200,1493636460.0,0,2017.0,13,1,0,Normal
France,Paris,CHAdeMO,Rapid,0.29,0.28,4.863,0.0,0.0,16.769,12,02/05/2017 10:33:00+0200,1493713980.0,1,2017.0,10,33,02/05/2017 10:50:00+0200,1493715000.0,1,2017.0,10,50,0,Normal
France,Paris,CHAdeMO,Rapid,0.03,0.03,0.0,0.0,0.0,0.0,12,01/05/2017 12:52:00+0200,1493635920.0,0,2017.0,12,52,01/05/2017 12:54:00+0200,1493636040.0,0,2017.0,12,54,0,Normal
France,Paris,CHAdeMO,Rapid,0.04,0.03,0.0,0.95,0.0,0.0,12,02/05/2017 15:20:00+0200,1493731200.0,1,2017.0,15,20,02/05/2017 15:22:00+0200,1493731320.0,1,2017.0,15,22,0,Normal
France,Paris,CHAdeMO,Rapid,0.03,0.03,0.0,0.79,0.0,0.0,12,02/05/2017 15:23:00+0200,1493731380.0,1,2017.0,15,23,02/05/2017 15:25:00+0200,1493731500.0,1,2017.0,15,25,0,Normal
France,Paris,CHAdeMO,Rapid,0.03,0.02,0.0,1.27,0.0,0.0,12,02/05/2017 15:26:00+0200,1493731560.0,1,2017.0,15,26,02/05/2017 15:27:00+0200,1493731620.0,1,2017.0,15,27,0,Normal
France,Paris,CHAdeMO,Rapid,0.02,0.02,0.0,1.01,0.0,0.0,12,02/05/2017 15:28:00+0200,1493731680.0,1,2017.0,15,28,02/05/2017 15:29:00+0200,1493731740.0,1,2017.0,15,29,0,Normal
France,Paris,CHAdeMO,Rapid,0.11,0.12,1.683,0.32,0.54,15.3,12,03/05/2017 23:39:00+0200,1493847540.0,2,2017.0,23,39,03/05/2017 23:46:00+0200,1493847960.0,2,2017.0,23,46,0,Normal
France,Paris,CHAdeMO,Rapid,0.25,0.25,3.822,1.27,4.85,15.288,12,06/05/2017 05:56:00+0200,1494042960.0,5,2017.0,5,56,06/05/2017 06:11:00+0200,1494043860.0,5,2017.0,6,11,0,Normal
France,Paris,T2,Rapid,1.01,1.0,18.204,0.0,0.0,18.024,13,01/05/2017 11:50:00+0200,1493632200.0,0,2017.0,11,50,01/05/2017 12:50:00+0200,1493635800.0,0,2017.0,12,50,0,Normal
France,Paris,T2,Rapid,0.08,0.08,0.922,1.14,1.05,11.525,13,01/05/2017 14:32:00+0200,1493641920.0,0,2017.0,14,32,01/05/2017 14:37:00+0200,1493642220.0,0,2017.0,14,37,0,Normal
France,Paris,T3,Rapid,1.07,1.07,3.807,0.0,0.0,3.558,34,06/05/2017 16:06:00+0200,1494079560.0,5,2017.0,16,6,06/05/2017 17:10:00+0200,1494083400.0,5,2017.0,17,10,0,Normal
France,Paris,T3,Rapid,0.69,0.7,12.601,0.0,0.0,18.262,14,01/05/2017 16:48:00+0200,1493650080.0,0,2017.0,16,48,01/05/2017 17:30:00+0200,1493652600.0,0,2017.0,17,30,0,Normal
France,Paris,T3,Rapid,0.68,0.67,10.834,1.1,11.92,15.932,14,01/05/2017 15:44:00+0200,1493646240.0,0,2017.0,15,44,01/05/2017 16:24:00+0200,1493648640.0,0,2017.0,16,24,0,Normal
France,Paris,T2,Rapid,0.43,0.43,8.115,0.34,2.76,18.872,13,05/05/2017 13:34:00+0200,1493984040.0,4,2017.0,13,34,05/05/2017 14:00:00+0200,1493985600.0,4,2017.0,14,0,0,Normal
France,Paris,T2,Rapid,0.21,0.2,0.761,0.0,0.0,3.624,13,30/05/2017 11:07:00+0200,1496135220.0,1,2017.0,11,7,30/05/2017 11:19:00+0200,1496135940.0,1,2017.0,11,19,0,Normal
France,Paris,T2,Rapid,0.01,0.0,0.0,0.0,0.0,0.0,13,02/05/2017 20:04:00+0200,1493748240.0,1,2017.0,20,4,02/05/2017 20:04:00+0200,1493748240.0,1,2017.0,20,4,0,Normal
France,Paris,T2,Rapid,0.02,0.03,0.0,0.0,0.0,0.0,13,02/05/2017 19:55:00+0200,1493747700.0,1,2017.0,19,55,02/05/2017 19:57:00+0200,1493747820.0,1,2017.0,19,57,0,Normal
France,Paris,T2,Rapid,0.01,0.02,0.0,0.0,0.0,0.0,13,02/05/2017 19:57:00+0200,1493747820.0,1,2017.0,19,57,02/05/2017 19:58:00+0200,1493747880.0,1,2017.0,19,58,0,Normal
France,Paris,T2,Rapid,0.01,0.02,0.0,0.96,0.0,0.0,13,02/05/2017 19:58:00+0200,1493747880.0,1,2017.0,19,58,02/05/2017 19:59:00+0200,1493747940.0,1,2017.0,19,59,0,Normal
France,Paris,T2,Rapid,0.01,0.02,0.0,0.54,0.0,0.0,13,02/05/2017 19:59:00+0200,1493747940.0,1,2017.0,19,59,02/05/2017 20:00:00+0200,1493748000.0,1,2017.0,20,0,0,Normal
France,Paris,T2,Rapid,0.01,0.0,0.0,1.29,0.0,0.0,13,02/05/2017 20:00:00+0200,1493748000.0,1,2017.0,20,0,02/05/2017 20:00:00+0200,1493748000.0,1,2017.0,20,0,0,Normal
France,Paris,CHAdeMO,Rapid,0.02,0.03,0.0,0.49,0.0,0.0,12,08/05/2017 11:28:00+0200,1494235680.0,0,2017.0,11,28,08/05/2017 11:30:00+0200,1494235800.0,0,2017.0,11,30,0,Normal
France,Paris,T2,Rapid,0.01,0.02,0.0,0.0,0.0,0.0,13,02/05/2017 20:00:00+0200,1493748000.0,1,2017.0,20,0,02/05/2017 20:01:00+0200,1493748060.0,1,2017.0,20,1,0,Normal
France,Paris,T2,Rapid,0.02,0.02,0.0,0.54,0.0,0.0,13,02/05/2017 20:01:00+0200,1493748060.0,1,2017.0,20,1,02/05/2017 20:02:00+0200,1493748120.0,1,2017.0,20,2,0,Normal
France,Paris,T2,Rapid,0.01,0.0,0.0,1.09,0.0,0.0,13,02/05/2017 20:03:00+0200,1493748180.0,1,2017.0,20,3,02/05/2017 20:03:00+0200,1493748180.0,1,2017.0,20,3,0,Normal
France,Paris,CHAdeMO,Rapid,0.02,0.02,0.0,0.0,0.0,0.0,32,30/05/2017 23:57:00+0200,1496181420.0,1,2017.0,23,57,30/05/2017 23:58:00+0200,1496181480.0,1,2017.0,23,58,0,Normal
France,Paris,CHAdeMO,Rapid,0.47,0.47,8.214,0.0,0.0,17.477,12,08/05/2017 10:59:00+0200,1494233940.0,0,2017.0,10,59,08/05/2017 11:27:00+0200,1494235620.0,0,2017.0,11,27,0,Normal
France,Paris,CHAdeMO,Rapid,0.45,0.45,5.457,0.5,2.73,12.127,12,08/05/2017 05:53:00+0200,1494215580.0,0,2017.0,5,53,08/05/2017 06:20:00+0200,1494217200.0,0,2017.0,6,20,0,Normal
France,Paris,CHAdeMO,Rapid,0.56,0.57,9.099,0.0,0.0,16.248,12,07/05/2017 19:07:00+0200,1494176820.0,6,2017.0,19,7,07/05/2017 19:41:00+0200,1494178860.0,6,2017.0,19,41,0,Normal
France,Paris,CHAdeMO,Rapid,0.01,0.02,0.0,0.93,0.0,0.0,32,30/05/2017 23:55:00+0200,1496181300.0,1,2017.0,23,55,30/05/2017 23:56:00+0200,1496181360.0,1,2017.0,23,56,0,Normal
France,Paris,CHAdeMO,Rapid,0.44,0.43,6.159,1.12,6.9,13.998,12,30/05/2017 11:35:00+0200,1496136900.0,1,2017.0,11,35,30/05/2017 12:01:00+0200,1496138460.0,1,2017.0,12,1,0,Normal
France,Paris,T2,Rapid,0.28,0.28,4.33,0.0,0.0,15.464,13,03/05/2017 10:41:00+0200,1493800860.0,2,2017.0,10,41,03/05/2017 10:58:00+0200,1493801880.0,2,2017.0,10,58,0,Normal
France,Paris,TE,Rapid,11.06,11.07,15.563,0.76,11.83,1.407,21,29/05/2017 20:57:00+0200,1496084220.0,0,2017.0,20,57,30/05/2017 08:01:00+0200,1496124060.0,1,2017.0,8,1,0,Normal
France,Paris,TE,Rapid,3.47,3.47,7.919,1.18,9.34,2.282,21,30/05/2017 16:14:00+0200,1496153640.0,1,2017.0,16,14,30/05/2017 19:42:00+0200,1496166120.0,1,2017.0,19,42,0,Normal
France,Paris,TE,Rapid,0.58,0.6,1.161,0.0,0.0,2.002,21,30/05/2017 19:52:00+0200,1496166720.0,1,2017.0,19,52,30/05/2017 20:28:00+0200,1496168880.0,1,2017.0,20,28,0,Normal
France,Paris,TE,Rapid,1.15,1.15,1.409,0.12,0.17,1.225,21,30/05/2017 20:28:00+0200,1496168880.0,1,2017.0,20,28,30/05/2017 21:37:00+0200,1496173020.0,1,2017.0,21,37,0,Normal
France,Paris,CHAdeMO,Rapid,0.67,0.67,6.132,0.0,0.0,9.152,32,28/05/2017 01:50:00+0200,1495929000.0,6,2017.0,1,50,28/05/2017 02:30:00+0200,1495931400.0,6,2017.0,2,30,0,Normal
France,Paris,CHAdeMO,Rapid,0.64,0.65,6.075,0.26,1.58,9.492,32,29/05/2017 01:14:00+0200,1496013240.0,0,2017.0,1,14,29/05/2017 01:53:00+0200,1496015580.0,0,2017.0,1,53,0,Normal
France,Paris,CHAdeMO,Rapid,0.27,0.27,2.667,0.0,0.0,9.878,32,29/05/2017 08:40:00+0200,1496040000.0,0,2017.0,8,40,29/05/2017 08:56:00+0200,1496040960.0,0,2017.0,8,56,0,Normal
France,Paris,CHAdeMO,Rapid,0.25,0.25,2.157,0.92,1.98,8.628,32,30/05/2017 16:52:00+0200,1496155920.0,1,2017.0,16,52,30/05/2017 17:07:00+0200,1496156820.0,1,2017.0,17,7,0,Normal
France,Paris,TE,Rapid,3.57,3.58,8.236,0.0,0.0,2.307,21,09/05/2017 20:08:00+0200,1494353280.0,1,2017.0,20,8,09/05/2017 23:43:00+0200,1494366180.0,1,2017.0,23,43,0,Normal
France,Paris,TE,Rapid,4.04,4.03,7.314,0.58,4.24,1.81,21,09/05/2017 13:39:00+0200,1494329940.0,1,2017.0,13,39,09/05/2017 17:41:00+0200,1494344460.0,1,2017.0,17,41,0,Normal
France,Paris,CHAdeMO,Rapid,0.62,0.62,6.123,0.0,0.0,9.876,32,04/05/2017 13:23:00+0200,1493896980.0,3,2017.0,13,23,04/05/2017 14:00:00+0200,1493899200.0,3,2017.0,14,0,0,Normal
France,Paris,TE,Rapid,0.02,0.02,0.0,0.87,0.0,0.0,21,07/05/2017 12:13:00+0200,1494151980.0,6,2017.0,12,13,07/05/2017 12:14:00+0200,1494152040.0,6,2017.0,12,14,0,Normal
France,Paris,TE,Rapid,1.77,1.77,4.026,0.82,3.3,2.275,21,07/05/2017 00:24:00+0200,1494109440.0,6,2017.0,0,24,07/05/2017 02:10:00+0200,1494115800.0,6,2017.0,2,10,0,Normal
France,Paris,CHAdeMO,Rapid,0.86,0.87,8.991,0.0,0.0,10.455,32,25/05/2017 19:41:00+0200,1495734060.0,3,2017.0,19,41,25/05/2017 20:33:00+0200,1495737180.0,3,2017.0,20,33,0,Normal
France,Paris,TE,Rapid,11.71,11.72,12.577,0.0,0.0,1.074,21,04/05/2017 20:01:00+0200,1493920860.0,3,2017.0,20,1,05/05/2017 07:44:00+0200,1493963040.0,4,2017.0,7,44,0,Normal
France,Paris,TE,Rapid,0.31,0.3,0.677,0.0,0.0,2.184,21,04/05/2017 19:41:00+0200,1493919660.0,3,2017.0,19,41,04/05/2017 19:59:00+0200,1493920740.0,3,2017.0,19,59,0,Normal
France,Paris,CHAdeMO,Rapid,0.95,0.95,9.654,0.0,0.0,10.162,32,13/05/2017 10:22:00+0200,1494663720.0,5,2017.0,10,22,13/05/2017 11:19:00+0200,1494667140.0,5,2017.0,11,19,0,Normal
France,Paris,TE,Rapid,10.03,10.03,3.915,0.7,2.74,0.39,21,03/05/2017 21:32:00+0200,1493839920.0,2,2017.0,21,32,04/05/2017 07:34:00+0200,1493876040.0,3,2017.0,7,34,0,Normal
France,Paris,TE,Rapid,11.28,11.28,16.44,0.0,0.0,1.457,21,01/05/2017 20:36:00+0200,1493663760.0,0,2017.0,20,36,02/05/2017 07:53:00+0200,1493704380.0,1,2017.0,7,53,0,Normal
