country,city,connectorType,durationCharge,durationSession,energy,tariff,cost,meanPower,maxPower,startDate,startTimestamp,weekDayStart,yearStart,hourStart,minuteStart,endDate,endTimestamp,weekDayEnd,yearEnd,hourEnd,minuteEnd,anomaly,class
UK,Perth,Rapid,0.22,0.22,8.183,0.72,5.89,37.195,50.0,01/01/2019 01:38:00,1546303080.0,1,2019.0,1,38,01/01/2019 01:51:00,1546303860.0,1,2019.0,1,51,0,Normal
UK,Blairgowrie,Rapid,0.6,0.6,18.91,0.27,5.11,31.517,50.0,01/01/2019 07:00:00,1546322400.0,1,2019.0,7,0,01/01/2019 07:36:00,1546324560.0,1,2019.0,7,36,0,Normal
UK,Kinross,Rapid,1.0,1.0,11.21,0.58,6.5,11.21,50.0,01/01/2019 07:19:00,1546323540.0,1,2019.0,7,19,01/01/2019 08:19:00,1546327140.0,1,2019.0,8,19,0,Normal
UK,Perth,Rapid,0.45,0.45,7.46,0.0,0.0,16.578,50.0,01/01/2019 08:24:00,1546327440.0,1,2019.0,8,24,01/01/2019 08:51:00,1546329060.0,1,2019.0,8,51,0,Normal
UK,Pitlochry,Rapid,0.32,0.32,10.24,0.0,0.0,32.0,50.0,01/01/2019 08:29:00,1546327740.0,1,2019.0,8,29,01/01/2019 08:48:00,1546328880.0,1,2019.0,8,48,0,Normal
UK,Perth,Fast,1.0,1.0,15.47,0.0,0.0,15.47,22.0,01/01/2019 08:50:00,1546329000.0,1,2019.0,8,50,01/01/2019 09:50:00,1546332600.0,1,2019.0,9,50,0,Normal
UK,Blairgowrie,Rapid,0.42,0.42,7.97,0.0,0.0,18.976,50.0,01/01/2019 09:19:00,1546330740.0,1,2019.0,9,19,01/01/2019 09:44:00,1546332240.0,1,2019.0,9,44,0,Normal
UK,Kinross,Rapid,1.82,1.82,23.862,1.3,31.02,13.111,50.0,01/01/2019 10:11:00,1546333860.0,1,2019.0,10,11,01/01/2019 12:00:00,1546340400.0,1,2019.0,12,0,0,Normal
UK,Perth,Rapid,0.37,0.37,12.78,0.25,3.19,34.541,50.0,01/01/2019 10:36:00,1546335360.0,1,2019.0,10,36,01/01/2019 10:58:00,1546336680.0,1,2019.0,10,58,0,Normal
UK,Perth,Fast,0.85,0.85,13.247,0.0,0.0,15.585,22.0,01/01/2019 10:52:00,1546336320.0,1,2019.0,10,52,01/01/2019 11:43:00,1546339380.0,1,2019.0,11,43,0,Normal
UK,Kinross,Rapid,0.77,0.77,8.73,0.0,0.0,11.338,50.0,01/01/2019 10:54:00,1546336440.0,1,2019.0,10,54,01/01/2019 11:40:00,1546339200.0,1,2019.0,11,40,0,Normal
UK,Dunkeld,Rapid,0.33,0.33,5.23,1.1,5.75,15.848,50.0,01/01/2019 11:12:00,1546337520.0,1,2019.0,11,12,01/01/2019 11:32:00,1546338720.0,1,2019.0,11,32,0,Normal
UK,Perth,Fast,0.67,0.67,14.277,0.84,11.99,21.309,22.0,01/01/2019 12:19:00,1546341540.0,1,2019.0,12,19,01/01/2019 12:59:00,1546343940.0,1,2019.0,12,59,0,Normal
UK,Blairgowrie,Rapid,1.57,1.57,23.284,1.1,25.61,14.831,50.0,01/01/2019 12:19:00,1546341540.0,1,2019.0,12,19,01/01/2019 13:53:00,1546347180.0,1,2019.0,13,53,0,Normal
UK,Perth,Fast,0.95,0.95,3.247,0.96,3.12,3.418,22.0,01/01/2019 12:22:00,1546341720.0,1,2019.0,12,22,01/01/2019 13:19:00,1546345140.0,1,2019.0,13,19,0,Normal
UK,Perth,Rapid,0.43,0.43,17.95,0.38,6.82,41.744,50.0,01/01/2019 13:08:00,1546344480.0,1,2019.0,13,8,01/01/2019 13:34:00,1546346040.0,1,2019.0,13,34,0,Normal
